airline,airlineID,sourceAirport,sourceAirportID,sourceAirportName,sourceCity,sourceCountry,sourceLat,sourceLon,destinationAirport,destinationAirportID,destinationAirportName,destinationCity,destinationCountry,destinationLat,destinationLon,Codeshare,Stops,Equipment,airlineName,active,departureDate,arrivalDate,departureYear,departureMonth,departureDay,arrivalYear,arrivalMonth,arrivalDay,punctuality,serviceQuality,handlingPassengers,airHelpScore,DEPARTURE_DELAY,ARRIVAL_DELAY,AIR_TIME,APPID,overall_rating,seat_comfort_rating,cabin_staff_rating,food_beverages_rating,inflight_entertainment_rating,value_money_rating
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,ALG,210,Houari Boumediene Airport,Algier,Algeria,36.69100189,3.215409994,,0,738 ATR 736,Air Algerie,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,8.9,9.5,8.9,9.08,-11,-22,169,TVR01,10,4,5,5,0,4
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,CDG,1382,Charles de Gaulle International Airport,Paris,France,49.012798,2.55,,0,738,Air Algerie,Y,9/20/2020,9/20/2020,2020,9,20,2020,9,20,7.6,9.5,8.6,8.57,-8,-9,263,TVR02,10,5,5,5,0,5
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,IST,1701,Istanbul Airport,Istanbul,Turkey,41.275278,28.751944,,0,738,Air Algerie,Y,09-02-2020,09-02-2020,2020,9,2,2020,9,2,8.6,9.3,7.5,8.43,-2,5,266,TVR03,9,4,5,3,2,5
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,LYS,1335,Lyon Saint-Exup�ry Airport,Lyon,France,45.725556,5.081111,,0,738,Air Algerie,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,8.5,9.8,6.8,8.33,-5,-9,258,TVR04,8,4,5,4,0,4
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,MRS,1353,Marseille Provence Airport,Marseille,France,43.43927192,5.221424103,,0,738,Air Algerie,Y,10-03-2020,10-03-2020,2020,10,3,2020,10,3,8.5,7.8,8.7,8.31,-1,-21,199,TVR05,8,4,5,5,0,2
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,ORN,231,Es Senia Airport,Oran,Algeria,35.62390137,-0.621182978,,0,ATR,Air Algerie,Y,9/19/2020,9/19/2020,2020,9,19,2020,9,19,8,8,8.9,8.29,-5,8,206,TVR06,10,5,5,4,0,4
AH,794,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,ORY,1386,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,,0,736,Air Algerie,Y,10/27/2020,10/27/2020,2020,10,27,2020,10,27,9,8.3,7.4,8.19,-6,-17,154,TVR07,9,4,4,4,0,3
ZI,21,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,MRS,1353,Marseille Provence Airport,Marseille,France,43.43927192,5.221424103,,0,319,Aigle Azur,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,8.9,8,7.5,8.12,14,-10,228,TVR08,9,4,4,4,0,4
ZI,21,AAE,220,Rabah Bitat Airport,Annaba,Algeria,36.822201,7.809174,ORY,1386,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,,0,319,Aigle Azur,Y,10/19/2020,10/19/2020,2020,10,19,2020,10,19,8.6,6.5,9.1,8.09,-11,-13,173,TVR09,10,5,5,4,3,4
AZ,596,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,AMS,580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,Y,0,E90,Alitalia,Y,10-04-2020,10-04-2020,2020,10,4,2020,10,4,8.2,8,7.9,8.04,3,-15,186,TVR10,8,4,5,4,0,4
BA,1355,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,Y,0,FRJ,British Airways,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,8.5,8,7.5,8.01,-6,-30,133,TVR11,10,4,5,5,3,4
BA,1355,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,OSL,644,Oslo Lufthavn,Oslo,Norway,60.121,11.0502,Y,0,J31 FRJ,British Airways,Y,10/29/2020,10/29/2020,2020,10,29,2020,10,29,7.6,7.8,8.6,8,-8,-10,238,TVR12,9,4,4,3,0,5
DX,1954,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,BLL,608,Billund Airport,Billund,Denmark,55.74029922,9.151780128,,0,SF3,DAT Danish Air Transport,Y,9/30/2020,9/30/2020,2020,9,30,2020,9,30,8.8,6,9.1,7.95,0,-4,188,TVR13,10,4,5,5,0,4
DX,1954,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,SVG,666,Stavanger Airport Sola,Stavanger,Norway,58.87670135,5.63778019,,0,SF3,DAT Danish Air Transport,Y,10-06-2020,10-06-2020,2020,10,6,2020,10,6,8.5,6.3,9.1,7.94,-6,-22,176,TVR14,7,4,4,3,2,4
DY,3737,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,AGP,1230,M�laga Airport,Malaga,Spain,36.67490005,-4.499110222,,0,73H,Norwegian Air Shuttle,Y,9/21/2020,9/21/2020,2020,9,21,2020,9,21,7.3,8,8.5,7.94,-1,8,166,TVR15,8,4,5,5,1,4
DY,3737,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,ALC,1212,Alicante International Airport,Alicante,Spain,38.28219986,-0.558156013,,0,73H,Norwegian Air Shuttle,Y,10-03-2020,10-03-2020,2020,10,3,2020,10,3,7.8,8.3,7.7,7.91,-4,-14,173,TVR16,10,5,5,5,3,4
DY,3737,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,CPH,609,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.61790085,12.65600014,,0,73H AT7,Norwegian Air Shuttle,Y,09-06-2020,09-06-2020,2020,9,6,2020,9,6,8.1,6.3,9.4,7.9,-14,-24,171,TVR17,9,4,5,4,1,2
DY,3737,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,LGW,502,London Gatwick Airport,London,United Kingdom,51.148102,-0.190278,,0,73H,Norwegian Air Shuttle,Y,9/28/2020,9/28/2020,2020,9,28,2020,9,28,8.4,8,7.3,7.9,-6,-7,199,TVR18,8,3,4,4,3,4
DY,3737,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,PMI,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.55170059,2.738810062,,0,73H,Norwegian Air Shuttle,Y,10-09-2020,10-09-2020,2020,10,9,2020,10,9,8.6,8,7,7.88,-4,-18,187,TVR19,2,1,2,1,1,4
IB,2822,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,BCN,1218,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,Y,0,320,Iberia Airlines,Y,9/15/2020,9/15/2020,2020,9,15,2020,9,15,8.5,6.3,8.9,7.88,-5,-12,171,TVR20,7,3,4,4,3,1
KL,3090,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,AMS,580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,Y,0,EMJ F70,KLM Royal Dutch Airlines,Y,10-11-2020,10-11-2020,2020,10,11,2020,10,11,7.7,7.8,8.1,7.85,25,6,128,TVR21,9,4,5,3,0,4
M3,42,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,OSL,644,Oslo Lufthavn,Oslo,Norway,60.121,11.0502,,0,SWM,ABSA - Aerolinhas Brasileiras,Y,10-03-2020,10-03-2020,2020,10,3,2020,10,3,8.4,7.8,7.4,7.85,-8,1,311,TVR22,3,2,1,1,1,1
SK,4319,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,ARN,737,Stockholm-Arlanda Airport,Stockholm,Sweden,59.65190125,17.91860008,,0,S20,Scandinavian Airlines System,Y,10/17/2020,10/17/2020,2020,10,17,2020,10,17,7.8,6.3,9.5,7.84,-1,-1,128,TVR23,7,5,4,2,0,4
SK,4319,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,BLL,608,Billund Airport,Billund,Denmark,55.74029922,9.151780128,,0,319,Scandinavian Airlines System,Y,10/14/2020,10/14/2020,2020,10,14,2020,10,14,9.2,6.3,7.9,7.79,-2,-12,255,TVR24,9,4,5,4,0,4
SK,4319,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,CPH,609,Copenhagen Kastrup Airport,Copenhagen,Denmark,55.61790085,12.65600014,,0,320 319 CR2 CR9 321,Scandinavian Airlines System,Y,10/27/2020,10/27/2020,2020,10,27,2020,10,27,8.4,6.8,8.2,7.78,-3,-23,150,TVR25,3,2,4,4,1,4
SK,4319,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,OSL,644,Oslo Lufthavn,Oslo,Norway,60.121,11.0502,,0,73H 73G,Scandinavian Airlines System,Y,09-02-2020,09-02-2020,2020,9,2,2020,9,2,7.9,6.3,9.2,7.78,-3,-11,156,TVR26,5,3,4,1,1,1
TK,4951,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,BLL,608,Billund Airport,Billund,Denmark,55.74029922,9.151780128,,0,319,Turkish Airlines,Y,09-09-2020,09-09-2020,2020,9,9,2020,9,9,8,6.3,9,7.77,-8,-3,186,TVR27,9,5,5,4,0,1
TK,4951,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,IST,1701,Istanbul Airport,Istanbul,Turkey,41.275278,28.751944,,0,319 738,Turkish Airlines,Y,09-03-2020,09-03-2020,2020,9,3,2020,9,3,7.8,6.3,9.3,7.76,12,25,166,TVR28,10,5,5,0,0,1
VY,2439,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,BCN,1218,Barcelona International Airport,Barcelona,Spain,41.2971,2.07846,,0,320,Formosa Airlines,Y,09-09-2020,09-09-2020,2020,9,9,2020,9,9,7.9,6.3,9.1,7.75,-10,-31,205,TVR29,3,2,4,3,0,1
IX,569,AAN,5937,Al Ain International Airport,Al Ain,United Arab Emirates,24.26169968,55.60919952,CCJ,3137,Calicut International Airport,Calicut,India,11.13679981,75.95529938,,0,738,Air India Express,Y,10/16/2020,10/16/2020,2020,10,16,2020,10,16,8.3,6,8.8,7.7,21,2,188,TVR30,8,4,4,4,2,4
NL,4311,AAN,5937,Al Ain International Airport,Al Ain,United Arab Emirates,24.26169968,55.60919952,PEW,2219,Peshawar International Airport,Peshawar,Pakistan,33.9939003,71.51460266,,0,734,Shaheen Air International,Y,10/19/2020,10/19/2020,2020,10,19,2020,10,19,8,6,9.1,7.7,72,43,156,TVR31,10,2,5,4,4,4
S7,4329,AAQ,4353,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148,DME,4029,Domodedovo International Airport,Moscow,Russia,55.40879822,37.90629959,,0,320,S7 Airlines,Y,10-08-2020,10-08-2020,2020,10,8,2020,10,8,8.1,6.3,8.7,7.69,-11,-16,217,TVR32,8,3,4,5,4,0
SU,130,AAQ,4353,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148,LED,2948,Pulkovo Airport,St. Petersburg,Russia,59.8003006,30.26250076,,0,320 319,Aeroflot Russian Airlines,Y,09-03-2020,09-03-2020,2020,9,3,2020,9,3,7.6,8,7.4,7.68,-6,10,182,TVR33,8,5,5,3,3,0
SU,130,AAQ,4353,Anapa Vityazevo Airport,Anapa,Russia,45.0021019,37.34730148,SVO,2985,Sheremetyevo International Airport,Moscow,Russia,55.972599,37.4146,,0,320 319,Aeroflot Russian Airlines,Y,9/25/2020,9/25/2020,2020,9,25,2020,9,25,7.5,7.8,7.8,7.67,-4,-4,148,TVR34,9,4,5,0,0,0
BA,1355,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,AAL,628,Aalborg Airport,Aalborg,Denmark,57.09275891,9.849243164,Y,0,FRJ,British Airways,Y,10/23/2020,10/23/2020,2020,10,23,2020,10,23,7.4,7.8,7.8,7.65,0,15,361,TVR35,2,2,2,1,0,0
BA,1355,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,BMA,738,Stockholm-Bromma Airport,Stockholm,Sweden,59.35440063,17.94169998,Y,0,FRJ,British Airways,Y,10/19/2020,10/19/2020,2020,10,19,2020,10,19,7.2,6.5,9.2,7.65,-9,-10,298,TVR36,9,3,4,5,0,0
BA,1355,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,GOT,687,Gothenburg-Landvetter Airport,Gothenborg,Sweden,57.66279984,12.27980042,Y,0,FRJ,British Airways,Y,10-12-2020,10-12-2020,2020,10,12,2020,10,12,7.9,6,8.9,7.59,3,-11,220,TVR37,0,4,3,2,3,0
BA,1355,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,OSL,644,Oslo Lufthavn,Oslo,Norway,60.121,11.0502,Y,0,FRJ,British Airways,Y,9/22/2020,9/22/2020,2020,9,22,2020,9,22,7.3,7.8,7.7,7.57,-15,-35,170,TVR38,7,4,4,4,0,0
FR,4296,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,AGP,1230,M�laga Airport,Malaga,Spain,36.67490005,-4.499110222,,0,738,Ryanair,Y,10-04-2020,10-04-2020,2020,10,4,2020,10,4,9.1,4.5,8.6,7.42,-2,11,231,TVR39,1,2,2,0,0,0
FR,4296,AAR,607,Aarhus Airport,Aarhus,Denmark,56.29999924,10.61900043,PMI,3998,Palma De Mallorca Airport,Palma de Mallorca,Spain,39.55170059,2.738810062,,0,738,Ryanair,Y,09-11-2020,09-11-2020,2020,9,11,2020,9,11,5.5,7.8,9,7.41,-16,-33,174,TVR40,1,1,1,1,1,0
